user_id,created_at,state,signup_channel,kyc_status,is_active
1,2024-05-07 07:53:23,NC,paid_social,unverified,True
2,2024-06-15 15:31:25,TX,organic,verified,True
3,2023-12-01 08:33:24,CA,seo,unverified,False
4,2023-11-26 14:39:19,NC,organic,verified,False
5,2023-12-18 21:56:55,NJ,influencer,verified,False
6,2024-04-23 11:08:04,NY,email,verified,False
7,2023-10-02 14:28:15,WI,referral,unverified,True
8,2023-09-29 00:18:03,GA,organic,verified,False
9,2023-12-18 22:54:06,VA,referral,verified,True
10,2024-04-25 13:30:44,MO,paid_social,pending,True
11,2024-05-24 21:04:02,NY,organic,pending,True
12,2023-11-22 22:30:09,MD,referral,verified,False
13,2024-08-10 13:50:40,MA,paid_social,verified,False
14,2024-06-18 02:40:24,MD,paid_social,verified,True
15,2024-06-21 12:24:01,FL,paid_social,unverified,True
16,2024-01-29 10:17:28,MA,email,verified,True
17,2024-05-23 18:00:04,NC,referral,verified,True
18,2024-02-25 05:00:41,,seo,pending,True
19,2024-03-17 03:56:10,MI,email,unverified,True
20,2024-01-25 05:07:46,MO,email,verified,False
21,2023-09-09 13:32:11,VA,referral,verified,True
22,2024-08-07 23:38:33,TX,influencer,verified,True
23,2023-10-21 20:41:42,MO,email,unverified,True
24,2024-08-27 18:06:04,OH,influencer,unverified,False
25,2024-08-16 09:00:39,FL,organic,pending,True
26,2024-04-04 02:55:22,GA,seo,unverified,True
27,2023-09-28 04:12:59,NJ,paid_social,pending,True
28,2024-03-29 10:01:28,MD,paid_social,pending,True
29,2023-10-08 15:10:48,AZ,influencer,pending,True
30,2024-05-20 12:12:44,FL,seo,pending,True
31,2023-12-07 13:38:42,MO,influencer,verified,True
32,2024-08-06 14:47:59,MA,email,verified,True
33,2024-03-29 22:38:41,TX,paid_social,verified,False
34,2023-11-24 00:16:09,NY,organic,pending,False
35,2023-12-21 18:42:55,MO,influencer,verified,True
36,2023-11-25 13:07:09,MD,organic,unverified,True
37,2024-04-15 20:55:47,IN,email,verified,True
38,2024-04-20 02:07:45,GA,email,verified,True
39,2024-04-29 13:03:14,MD,referral,pending,False
40,2023-12-03 16:42:51,IL,referral,pending,True
41,2023-09-05 14:49:34,MD,organic,unverified,False
42,2023-10-23 10:35:04,TX,referral,pending,True
43,2024-07-21 19:03:58,MI,seo,unverified,True
44,2024-07-15 07:57:45,FL,paid_social,pending,True
45,2023-10-13 13:38:51,IL,email,verified,True
46,2024-05-25 23:56:15,NC,referral,verified,True
47,2024-02-13 12:00:44,NY,,verified,False
48,2023-11-03 18:03:11,MO,email,verified,True
49,2024-08-09 23:08:53,IL,referral,unverified,False
50,2023-10-21 11:52:42,VA,organic,pending,True
51,2024-05-18 00:16:11,MO,influencer,unverified,True
52,2024-08-02 18:42:33,PA,organic,verified,False
53,2024-07-01 20:22:14,GA,seo,verified,True
54,2024-07-31 10:40:08,OH,influencer,pending,True
55,2023-11-27 13:47:53,OH,referral,verified,False
56,2024-01-16 08:55:08,WA,email,pending,True
57,2024-08-07 14:35:25,PA,referral,verified,True
58,2024-02-17 18:25:40,NJ,email,verified,True
59,2023-12-09 22:11:09,AZ,,unverified,True
60,2024-01-21 10:47:24,NJ,seo,verified,False
61,2024-03-16 22:43:27,AZ,seo,pending,True
62,2024-02-12 06:50:37,WA,paid_social,unverified,False
63,2024-04-01 19:08:41,MI,influencer,unverified,False
64,2024-02-29 14:00:14,OH,seo,verified,False
65,2024-03-20 04:21:39,WI,paid_social,unverified,True
66,2023-10-29 05:26:18,GA,email,verified,True
67,2024-06-06 23:28:09,TN,paid_social,unverified,True
68,2024-06-30 07:24:14,PA,seo,unverified,True
69,2024-08-23 07:26:25,MA,influencer,unverified,False
70,2024-06-21 07:26:25,WI,email,pending,False
71,2024-08-15 10:35:08,TN,paid_social,unverified,False
72,2024-05-02 09:43:07,MA,referral,verified,False
73,2024-08-13 19:36:48,IL,influencer,unverified,True
74,2023-11-24 02:11:07,AZ,influencer,pending,True
75,2024-07-21 11:06:30,MD,organic,unverified,True
76,2024-01-16 14:37:46,WA,influencer,unverified,True
77,2024-03-09 14:37:42,AZ,influencer,pending,False
78,2024-06-09 05:51:34,MA,email,unverified,True
79,2024-02-02 00:32:05,CA,influencer,verified,True
80,2023-09-21 12:41:12,NJ,referral,pending,False
81,2023-12-19 01:32:22,AZ,organic,pending,True
82,2024-03-29 11:44:59,VA,organic,unverified,True
83,2023-09-14 01:13:13,OH,email,verified,False
84,2024-05-18 23:48:31,OH,referral,pending,True
85,2024-04-24 19:57:24,FL,paid_social,pending,True
86,2023-09-11 23:20:24,MD,influencer,pending,True
87,2023-10-01 12:20:18,GA,referral,unverified,True
88,2024-07-07 05:22:31,NY,influencer,unverified,False
89,2023-09-06 21:55:35,TN,referral,unverified,False
90,2024-06-02 16:35:39,PA,seo,pending,False
91,2024-02-29 12:56:15,MD,paid_social,verified,False
92,2023-12-05 16:58:19,MD,influencer,pending,True
93,2024-07-28 11:27:19,TN,referral,pending,False
94,2024-04-04 20:20:52,OH,seo,pending,True
95,2024-05-27 04:56:44,TN,organic,verified,False
96,2024-05-27 15:55:25,MD,email,unverified,False
97,2024-01-16 15:06:42,NC,paid_social,verified,False
98,2023-10-18 10:19:51,PA,seo,pending,False
99,2023-10-11 00:58:16,MI,paid_social,pending,True
100,2024-03-27 10:29:59,NY,email,pending,True
101,2024-05-06 17:22:33,TN,organic,unverified,False
102,2024-02-20 01:28:00,NY,influencer,verified,False
103,2024-03-10 23:24:36,NY,email,pending,True
104,2023-12-07 09:18:26,AZ,email,verified,False
105,2024-02-23 23:05:56,MI,influencer,pending,True
106,2024-04-25 18:10:18,FL,paid_social,unverified,True
107,2023-11-01 23:52:41,MO,organic,pending,False
108,2023-12-24 02:44:00,MI,seo,pending,True
109,2023-12-01 15:40:03,MD,paid_social,pending,True
110,2023-11-28 07:22:33,NC,organic,verified,True
111,2023-12-30 11:08:59,MD,influencer,verified,False
112,2024-05-30 17:59:26,NC,influencer,pending,True
113,2023-09-17 11:31:45,NJ,organic,verified,True
114,2024-06-25 00:05:00,NC,paid_social,pending,False
115,2024-08-22 18:25:02,MD,influencer,verified,False
116,2024-01-09 10:39:33,FL,referral,pending,False
117,2024-05-16 07:43:34,MO,organic,pending,True
118,2024-06-28 00:40:06,IN,organic,unverified,False
119,2024-02-09 11:44:47,IN,influencer,unverified,True
120,2023-11-20 01:18:01,IL,influencer,unverified,True
121,2024-05-03 16:13:59,GA,referral,unverified,True
122,2024-02-07 10:44:55,FL,organic,unverified,False
123,2024-08-29 04:57:23,IN,influencer,pending,True
124,2024-02-26 09:33:30,WA,email,unverified,True
125,2024-08-02 13:18:53,AZ,email,pending,False
126,2024-06-09 23:17:08,MD,seo,pending,False
127,2024-03-29 03:56:05,NJ,email,pending,False
128,2024-08-04 17:16:30,GA,paid_social,pending,True
129,2024-06-17 05:09:18,WA,seo,unverified,False
130,2023-09-16 09:02:52,MD,organic,pending,True
131,2024-08-20 13:55:53,IL,seo,verified,True
132,2024-07-01 12:20:37,NJ,influencer,unverified,True
133,2024-01-07 14:27:11,MO,referral,unverified,False
134,2024-08-05 19:11:56,WI,seo,unverified,True
135,2024-06-18 00:22:01,FL,seo,verified,False
136,2024-08-17 20:31:21,NJ,referral,pending,True
137,2023-12-05 20:05:06,MD,paid_social,verified,True
138,2024-04-25 16:52:30,WI,influencer,unverified,True
139,2024-02-28 02:13:43,MA,organic,pending,True
140,2023-09-30 16:26:34,VA,referral,unverified,False
141,2024-02-26 10:01:06,OH,influencer,verified,False
142,2024-04-12 05:38:07,MI,seo,pending,True
143,2024-08-20 15:33:54,TN,referral,verified,False
144,2023-11-26 01:16:12,WI,seo,unverified,True
145,2024-05-02 23:41:48,NY,influencer,verified,True
146,2023-10-07 00:06:14,NJ,paid_social,verified,True
147,2024-03-29 11:38:40,VA,referral,verified,False
148,2024-07-11 05:01:03,NJ,influencer,verified,True
149,2023-11-28 14:52:52,WA,email,pending,True
150,2024-02-02 05:42:05,MO,referral,unverified,False
151,2024-04-16 00:29:41,VA,paid_social,pending,True
152,2024-08-10 09:39:57,NJ,paid_social,unverified,True
153,2024-07-17 22:53:18,MI,organic,verified,True
154,2023-09-16 10:50:31,TN,paid_social,unverified,True
155,2024-02-25 04:15:58,MO,seo,unverified,True
156,2024-02-10 03:00:14,TN,referral,verified,True
157,2024-02-21 04:37:47,GA,organic,unverified,False
158,2023-09-25 12:22:03,OH,influencer,verified,True
159,2023-09-21 15:25:33,GA,email,verified,True
160,2024-06-25 03:47:01,MD,paid_social,pending,True
161,2023-12-18 16:23:19,IL,email,pending,True
162,2024-05-15 17:30:13,IL,paid_social,unverified,True
163,2023-12-14 01:24:16,AZ,seo,verified,False
164,2024-03-19 07:43:28,MA,email,verified,False
165,2024-02-26 21:15:56,CA,influencer,pending,True
166,2024-03-10 09:38:12,MA,organic,pending,True
167,2023-10-21 00:11:27,MD,referral,pending,False
168,2024-02-25 04:56:03,AZ,seo,verified,True
169,2024-02-16 00:32:32,GA,influencer,pending,True
170,2024-01-01 09:09:42,NC,paid_social,unverified,True
171,2023-10-07 10:16:35,TX,seo,unverified,True
172,2024-04-05 01:45:04,MO,seo,verified,False
173,2024-08-04 03:12:18,NY,email,pending,True
174,2023-11-01 02:11:23,GA,referral,unverified,False
175,2024-04-11 22:59:59,AZ,email,unverified,True
176,2024-04-25 12:14:38,NC,referral,unverified,False
177,2024-01-16 07:46:31,,email,unverified,True
178,2024-06-15 18:19:55,CA,email,verified,False
179,2024-01-12 09:22:51,MI,email,unverified,True
180,2023-09-22 10:20:59,WI,organic,pending,False
181,2024-03-08 14:41:42,AZ,email,verified,True
182,2023-12-21 00:02:54,MD,seo,pending,True
183,2024-02-02 12:07:18,NY,referral,verified,False
184,2023-12-23 09:50:34,CA,influencer,verified,True
185,2024-03-26 20:01:38,IN,seo,pending,True
186,2024-08-01 16:13:33,AZ,organic,pending,False
187,2024-06-03 13:00:34,MI,organic,pending,True
188,2024-04-29 01:20:42,VA,organic,verified,False
189,2024-03-23 11:41:05,MI,paid_social,pending,True
190,2024-03-18 06:02:56,IN,referral,pending,True
191,2023-12-02 18:11:07,NC,email,verified,True
192,2023-11-09 19:07:17,TN,email,unverified,False
193,2024-08-02 15:21:52,NJ,organic,pending,False
194,2024-07-07 06:19:50,NY,organic,pending,True
195,2023-09-24 02:15:13,MI,organic,unverified,False
196,2024-02-28 16:47:06,NY,email,unverified,True
197,2024-04-23 23:03:47,IL,influencer,verified,False
198,2024-06-05 09:54:12,PA,seo,pending,True
199,2024-01-21 07:46:29,MI,referral,unverified,False
200,2023-09-27 14:20:34,MO,referral,pending,True
201,2024-01-09 11:09:33,IL,referral,unverified,False
202,2023-10-22 01:54:59,TX,influencer,unverified,True
203,2024-05-19 05:56:15,IN,seo,pending,True
204,2024-01-20 19:39:18,OH,influencer,verified,True
205,2023-11-01 04:11:37,FL,email,unverified,True
206,2024-05-16 01:37:39,WI,influencer,verified,True
207,2024-07-20 20:41:51,WI,paid_social,unverified,False
208,2024-01-21 11:30:59,GA,email,pending,False
209,2023-12-01 21:03:55,MI,influencer,verified,False
210,2024-02-28 07:10:09,WA,influencer,verified,True
211,2024-08-06 00:58:03,TN,email,verified,True
212,2023-12-21 16:58:47,PA,email,verified,True
213,2024-08-20 14:31:16,MA,organic,pending,True
214,2024-03-14 23:02:43,WA,referral,verified,True
215,2024-08-28 11:55:34,NJ,paid_social,verified,False
216,2024-05-29 07:51:40,TN,organic,verified,True
217,2023-11-24 18:02:52,MO,email,unverified,False
218,2023-12-03 06:58:02,NY,seo,unverified,True
219,2024-07-22 22:29:41,WI,seo,unverified,True
220,2023-12-24 02:51:06,WI,email,pending,True
221,2024-05-18 12:12:51,VA,email,unverified,True
222,2024-01-31 15:17:33,NY,referral,pending,False
223,2024-07-04 05:32:21,GA,seo,verified,False
224,2023-10-23 19:28:03,MO,seo,verified,False
225,2024-05-29 01:29:51,PA,organic,unverified,False
226,2023-09-16 08:42:50,NY,organic,pending,False
227,2024-07-14 16:08:07,NC,seo,verified,True
228,2024-08-03 05:49:29,NC,referral,pending,False
229,2024-08-14 10:37:32,NJ,influencer,unverified,False
230,2024-07-09 03:14:29,AZ,email,verified,False
231,2023-10-11 20:16:54,MI,email,unverified,False
232,2024-01-16 12:39:19,VA,influencer,pending,True
233,2023-10-01 03:26:03,WA,seo,unverified,True
234,2023-09-14 02:15:05,WI,influencer,verified,True
235,2023-12-02 15:38:10,VA,email,verified,False
236,2024-01-24 01:38:23,TX,email,pending,False
237,2023-12-07 22:32:57,CA,influencer,unverified,True
238,2023-12-12 15:56:07,MA,email,pending,False
239,2023-11-18 17:47:50,TX,seo,pending,False
240,2024-05-18 08:43:04,TX,referral,pending,True
241,2024-07-06 05:47:11,GA,paid_social,verified,False
242,2023-09-12 04:59:05,MD,email,verified,True
243,2023-09-27 12:49:00,TN,influencer,unverified,True
244,2024-01-03 02:54:43,MA,email,pending,True
245,2024-07-19 23:20:26,MD,paid_social,pending,True
246,2024-07-20 21:07:26,IL,paid_social,pending,True
247,2024-01-14 09:10:07,IN,organic,pending,True
248,2024-04-02 22:12:50,MI,organic,unverified,True
249,2023-11-07 11:42:19,WI,email,verified,True
250,2023-10-03 13:03:06,MD,paid_social,unverified,True
251,2024-03-13 10:03:04,MO,referral,pending,False
252,2023-12-26 12:17:04,NY,influencer,pending,False
253,2024-04-24 14:29:00,NJ,referral,pending,True
254,2024-01-23 21:41:05,FL,influencer,verified,True
255,2023-10-26 17:04:29,MI,email,pending,True
256,2024-07-13 22:09:47,MD,paid_social,verified,False
257,2024-03-13 16:46:38,TN,influencer,unverified,True
258,2023-11-24 13:17:28,NY,influencer,unverified,False
259,2023-12-21 23:22:04,FL,referral,unverified,False
260,2024-01-22 02:47:00,NY,paid_social,pending,True
261,2024-01-30 01:01:55,MO,email,unverified,True
262,2023-10-09 13:08:12,NJ,referral,verified,True
